stock_id,dates,adjusted close,volume
AAPL,2024-01-03,184.25,140903134.0
AAPL,2023-12-29,192.53,1062317718.0
AAPL,2023-11-30,189.95,1099760711.0
AAPL,2023-10-31,170.5504,1172845791.0
AAPL,2023-09-29,170.9898,1337873796.0
AAPL,2023-08-31,187.6284,1323817340.0
AAPL,2023-07-31,195.9329,996368613.0
AAPL,2023-06-30,193.4594,1297863403.0
AAPL,2023-05-31,176.7834,1275052503.0
AAPL,2023-04-28,168.9983,967580718.0
AAPL,2023-03-31,164.2375,1520461315.0
AAPL,2023-02-28,146.8178,1307294493.0
AAPL,2023-01-31,143.4918,1443652725.0
AAPL,2022-12-30,129.2112,1675731304.0
AAPL,2022-11-30,147.2111,1724948219.0
AAPL,2022-10-31,152.2387,1868381344.0
AAPL,2022-09-30,137.2074,2083968147.0
AAPL,2022-08-31,156.0908,1509735435.0
AAPL,2022-07-29,161.1187,1447364668.0
AAPL,2022-06-30,135.5495,1749297959.0
AAPL,2022-05-31,147.5657,2400305601.0
AAPL,2022-04-29,156.0721,1683547838.0
AAPL,2022-03-31,172.8623,2171827429.0
AAPL,2022-02-28,163.4673,1628570227.0
AAPL,2022-01-31,172.8101,2106513962.0
AAPL,2021-12-31,175.5686,2443227128.0
AAPL,2021-11-30,163.4369,1688864233.0
AAPL,2021-10-29,147.8966,1565079040.0
AAPL,2021-09-30,139.702,1797948421.0
AAPL,2021-08-31,149.9008,1462773381.0
AAPL,2021-07-30,143.7902,1916751489.0
AAPL,2021-06-30,135.0165,1606114354.0
AAPL,2021-05-28,122.8417,1711935110.0
AAPL,2021-04-30,129.3759,1889956694.0
AAPL,2021-03-31,120.2135,2650845211.0
AAPL,2021-02-26,119.3376,1825486961.0
AAPL,2021-01-29,129.6736,2239366098.0
AAPL,2020-12-31,130.391,2319687808.0
AAPL,2020-11-30,116.9873,2122724412.0
AAPL,2020-10-30,106.7894,2895317580.0
AAPL,2020-09-30,113.6072,3886793083.0
AAPL,2020-08-31,126.5856,1184207050.0
AAPL,2020-07-31,104.0469,755162226.0
AAPL,2020-06-30,89.3005,810900890.0
AAPL,2020-05-29,77.8295,701660022.0
AAPL,2020-04-30,71.7306,816530808.0
AAPL,2020-03-31,62.0843,1570331732.0
AAPL,2020-02-28,66.7402,755223231.0
AAPL,2020-01-31,75.3848,734044103.0
AAPL,2019-12-31,71.5219,598871365.0
AAPL,2019-11-29,65.0918,448922253.0
AAPL,2019-10-31,60.4091,621478768.0
AAPL,2019-09-30,54.3891,547408488.0
AAPL,2019-08-30,50.6906,683515746.0
AAPL,2019-07-31,51.5374,473957094.0
AAPL,2019-06-28,47.8796,515218768.0
AAPL,2019-05-31,42.3519,739456573.0
AAPL,2019-04-30,48.3561,506117812.0
AAPL,2019-03-29,45.7728,650981384.0
AAPL,2019-02-28,41.7245,472540723.0
AAPL,2019-01-31,39.9365,828099179.0
AAPL,2018-12-31,37.849,898917007.0
AAPL,2018-11-30,42.8494,961321947.0
AAPL,2018-10-31,52.3312,789748068.0
AAPL,2018-09-28,53.9762,678972040.0
AAPL,2018-08-31,54.4281,700318837.0
AAPL,2018-07-31,45.3404,393843881.0
AAPL,2018-06-29,44.1061,527624365.0
AAPL,2018-05-31,44.5255,620976206.0
AAPL,2018-04-30,39.2246,666360147.0
AAPL,2018-03-29,39.8228,701387082.0
AAPL,2018-02-28,42.277,888378184.0
AAPL,2018-01-31,39.5803,639245534.0
AAPL,2017-12-29,40.0058,518560008.0
AAPL,2017-11-30,40.6252,581374608.0
AAPL,2017-10-31,39.8173,496135305.0
AAPL,2017-09-29,36.3029,669594016.0
AAPL,2017-08-31,38.6301,638221161.0
AAPL,2017-07-31,34.8917,411377229.0
AAPL,2017-06-30,33.7868,664986406.0
AAPL,2017-05-31,35.8372,635292989.0
AAPL,2017-04-28,33.5626,371280180.0
AAPL,2017-03-31,33.565,562091214.0
AAPL,2017-02-28,32.0066,574968547.0
AAPL,2017-01-31,28.2309,563331160.0
AAPL,2016-12-30,26.9444,608771645.0
AAPL,2016-11-30,25.7114,721554967.0
AAPL,2016-10-31,26.2776,686914224.0
AAPL,2016-09-30,26.1642,970096738.0
AAPL,2016-08-31,24.5557,630128567.0
AAPL,2016-07-29,23.9891,685779613.0
AAPL,2016-06-30,22.0071,780630235.0
AAPL,2016-05-31,22.9877,901144768.0
AAPL,2016-04-29,21.4478,872383623.0
AAPL,2016-03-31,24.937,745756771.0
AAPL,2016-02-29,22.1228,810862547.0
AAPL,2016-01-29,22.1522,1271848087.0
AAPL,2015-12-31,23.9546,922626259.0
AAPL,2015-11-30,26.9222,750606735.0
AAPL,2015-10-30,27.0789,1113703829.0
AAPL,2015-09-30,24.9148,1203789074.0
AAPL,2015-08-31,25.5516,1606359115.0
AAPL,2015-07-31,27.3632,1058280697.0
AAPL,2015-06-30,28.2937,878606841.0
AAPL,2015-05-29,29.3889,954152126.0
AAPL,2015-04-30,28.115,996135511.0
AAPL,2015-03-31,27.9532,1138641910.0
AAPL,2015-02-27,28.8585,1136535493.0
AAPL,2015-01-30,26.2173,1304879185.0
AAPL,2014-12-31,24.7001,1073775862.0
AAPL,2014-11-28,26.6133,820471729.0
AAPL,2014-10-31,24.0635,1360280122.0
AAPL,2014-09-30,22.4481,1523782675.0
AAPL,2014-08-29,22.838,930931500.0
AAPL,2014-07-31,21.1952,1035191700.0
AAPL,2014-06-30,20.6032,853194497.0
AAPL,2014-05-30,20.0486,204845300.0
AAPL,2014-04-30,18.5856,229823600.0
AAPL,2014-03-31,16.9052,178632100.0
AAPL,2014-02-28,16.5745,210013100.0
AAPL,2014-01-31,15.6737,313069800.0
AMZN,2024-01-03,148.47,96764919.0
AMZN,2023-12-29,151.94,930652363.0
AMZN,2023-11-30,146.09,1026201791.0
AMZN,2023-10-31,133.09,1224706726.0
AMZN,2023-09-29,127.12,1120523243.0
AMZN,2023-08-31,138.01,1213497007.0
AMZN,2023-07-31,133.68,1059097946.0
AMZN,2023-06-30,130.36,1243071267.0
AMZN,2023-05-31,120.58,1432007632.0
AMZN,2023-04-28,105.45,1222124091.0
AMZN,2023-03-31,103.29,1349466996.0
AMZN,2023-02-28,94.23,1364198308.0
AMZN,2023-01-31,103.13,1523798384.0
AMZN,2022-12-30,84.0,1549193116.0
AMZN,2022-11-30,96.54,2035252422.0
AMZN,2022-10-31,102.44,1459511591.0
AMZN,2022-09-30,113.0,1209987592.0
AMZN,2022-08-31,126.77,1170389539.0
AMZN,2022-07-29,134.95,1338005773.0
AMZN,2022-06-30,106.21,1457571482.0
AMZN,2022-05-31,120.2095,112895255.0
AMZN,2022-04-29,124.2815,73072079.0
AMZN,2022-03-31,162.9975,81145583.0
AMZN,2022-02-28,153.563,84446686.0
AMZN,2022-01-31,149.5735,76146845.0
AMZN,2021-12-31,166.717,64405344.0
AMZN,2021-11-30,175.3535,75633992.0
AMZN,2021-10-29,168.6215,63680713.0
AMZN,2021-09-30,164.252,62540133.0
AMZN,2021-08-31,173.5395,62844829.0
AMZN,2021-07-30,166.3795,82554006.0
AMZN,2021-06-30,172.008,66960544.0
AMZN,2021-05-28,161.1535,75191624.0
AMZN,2021-04-30,173.371,76843571.0
AMZN,2021-03-31,154.704,78204991.0
AMZN,2021-02-26,154.6465,70893385.0
AMZN,2021-01-29,160.31,71427780.0
AMZN,2020-12-31,162.8465,77463508.0
AMZN,2020-11-30,158.402,90800583.0
AMZN,2020-10-30,151.8075,116252115.0
AMZN,2020-09-30,157.4365,115969967.0
AMZN,2020-08-31,172.548,83519879.0
AMZN,2020-07-31,158.234,127304238.0
AMZN,2020-06-30,137.941,87845661.0
AMZN,2020-05-29,122.1185,82620883.0
AMZN,2020-04-30,123.7,124631816.0
AMZN,2020-03-31,97.486,163796017.0
AMZN,2020-02-28,94.1875,92555977.0
AMZN,2020-01-31,100.436,84743300.0
AMZN,2019-12-31,92.392,68522009.0
AMZN,2019-11-29,90.04,52060472.0
AMZN,2019-10-31,88.833,71821008.0
AMZN,2019-09-30,86.7955,62003799.0
AMZN,2019-08-30,88.8145,79978762.0
AMZN,2019-07-31,93.339,73190780.0
AMZN,2019-06-28,94.6815,74746589.0
AMZN,2019-05-31,88.7535,98214360.0
AMZN,2019-04-30,96.326,81293632.0
AMZN,2019-03-29,89.0375,100832035.0
AMZN,2019-02-28,81.9915,80936924.0
AMZN,2019-01-31,85.9365,134015530.0
AMZN,2018-12-31,75.0985,154812304.0
AMZN,2018-11-30,84.5085,139290208.0
AMZN,2018-10-31,79.9005,183228552.0
AMZN,2018-09-28,100.15,94445693.0
AMZN,2018-08-31,100.6355,96575676.0
AMZN,2018-07-31,88.872,97629820.0
AMZN,2018-06-29,84.99,85941510.0
AMZN,2018-05-31,81.481,71615299.0
AMZN,2018-04-30,78.3065,129945743.0
AMZN,2018-03-29,72.367,128401298.0
AMZN,2018-02-28,75.6225,133362428.0
AMZN,2018-01-31,72.5445,94145634.0
AMZN,2017-12-29,58.4735,56130525.0
AMZN,2017-11-30,58.8375,76226064.0
AMZN,2017-10-31,55.264,80304293.0
AMZN,2017-09-29,48.0675,58038449.0
AMZN,2017-08-31,49.03,75779478.0
AMZN,2017-07-31,49.389,76564735.0
AMZN,2017-06-30,48.4,94729701.0
AMZN,2017-05-31,49.731,75223469.0
AMZN,2017-04-28,46.2495,72336605.0
AMZN,2017-03-31,44.327,60722752.0
AMZN,2017-02-28,42.252,71748231.0
AMZN,2017-01-31,41.174,70714587.0
AMZN,2016-12-30,37.4935,73660584.0
AMZN,2016-11-30,37.5285,110085967.0
AMZN,2016-10-31,39.491,77063812.0
AMZN,2016-09-30,41.8655,67354133.0
AMZN,2016-08-31,38.458,50000397.0
AMZN,2016-07-29,37.9405,68635440.0
AMZN,2016-06-30,35.781,74556809.0
AMZN,2016-05-31,36.1395,90623145.0
AMZN,2016-04-29,32.9795,78464320.0
AMZN,2016-03-31,29.682,93964682.0
AMZN,2016-02-29,27.626,124144797.0
AMZN,2016-01-29,29.35,130200780.0
AMZN,2015-12-31,33.7945,90220804.0
AMZN,2015-11-30,33.24,87301503.0
AMZN,2015-10-30,31.295,97188843.0
AMZN,2015-09-30,25.5835,76602841.0
AMZN,2015-08-31,25.6445,82893196.0
AMZN,2015-07-31,26.8075,102069942.0
AMZN,2015-06-30,21.7045,54989227.0
AMZN,2015-05-29,21.4615,51984199.0
AMZN,2015-04-30,21.089,84404887.0
AMZN,2015-03-31,18.605,55502746.0
AMZN,2015-02-27,19.008,70847240.0
AMZN,2015-01-30,17.7265,103040529.0
AMZN,2014-12-31,15.5175,86874154.0
AMZN,2014-11-28,16.932,68993021.0
AMZN,2014-10-31,15.273,111120640.0
AMZN,2014-09-30,16.122,68006506.0
AMZN,2014-08-29,16.952,62015200.0
AMZN,2014-07-31,15.6495,99337300.0
AMZN,2014-06-30,16.239,76493200.0
AMZN,2014-05-30,15.6275,78579200.0
AMZN,2014-04-30,15.2065,138278700.0
AMZN,2014-03-31,16.8182,75253500.0
AMZN,2014-02-28,18.105,83009000.0
AMZN,2014-01-31,17.9345,81011900.0
GOOGL,2024-01-03,138.92,47923367.0
GOOGL,2023-12-29,139.69,619214883.0
GOOGL,2023-11-30,132.53,535336827.0
GOOGL,2023-10-31,124.08,680762930.0
GOOGL,2023-09-29,130.86,477625238.0
GOOGL,2023-08-31,136.17,593521002.0
GOOGL,2023-07-31,132.72,707114432.0
GOOGL,2023-06-30,119.7,656884438.0
GOOGL,2023-05-31,122.87,820529683.0
GOOGL,2023-04-28,107.34,603728992.0
GOOGL,2023-03-31,103.73,860049034.0
GOOGL,2023-02-28,90.06,952709694.0
GOOGL,2023-01-31,98.84,672897542.0
GOOGL,2022-12-30,88.23,602717061.0
GOOGL,2022-11-30,100.99,716537649.0
GOOGL,2022-10-31,94.51,681653109.0
GOOGL,2022-09-30,95.65,612908183.0
GOOGL,2022-08-31,108.22,515791070.0
GOOGL,2022-07-29,116.32,428144985.0
GOOGL,2022-06-30,108.963,38543689.0
GOOGL,2022-05-31,113.762,42514648.0
GOOGL,2022-04-29,114.1095,37720682.0
GOOGL,2022-03-31,139.0675,36383218.0
GOOGL,2022-02-28,135.057,46381207.0
GOOGL,2022-01-31,135.3035,38092594.0
GOOGL,2021-12-31,144.852,30992881.0
